date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-10-22,Real Madrid,Juventus,1–0,Estadio Santiago Bernabéu,Slavko Vinčič,65%,35%,579 of 651,275 of 349,9 of 28,4 of 13,4 of 4,8 of 9,88.9,78.8,32.1,30.8,100.0,88.9,Home Win,Real Madrid
2025-10-22,Monaco,Tottenham,0–0,Stade Louis II,Marco Guida,56%,44%,409 of 495,307 of 392,8 of 23,2 of 11,2 of 2,8 of 8,82.6,78.3,34.8,18.2,100.0,100.0,Draw,Draw
2025-10-22,Eint Frankfurt,Liverpool,1–5,Deutsche Bank Park,François Letexier,35%,65%,320 of 399,667 of 744,1 of 4,14 of 18,9 of 14,0 of 1,80.2,89.7,25.0,77.8,64.3,0.0,Away Win,Liverpool
,,,,,,,,,,,,,,,,,,,,,
2025-11-04,Slavia Prague,Arsenal,0–3,Fortuna Arena,Əliyar Ağayev,43%,57%,201 of 295,301 of 385,1 of 9,7 of 13,5 of 7,1 of 1,68.1,78.2,11.1,53.8,71.4,100.0,Away Win,Arsenal
2025-11-04,Napoli,Eint Frankfurt,0–0,Stadio Diego Armando Maradona,João Pinheiro,64%,36%,632 of 722,320 of 409,2 of 18,3 of 7,3 of 3,2 of 2,87.5,78.2,11.1,42.9,100.0,100.0,Draw,Draw
2025-11-04,Tottenham,FC Copenhagen,4–0,Tottenham Hotspur Stadium,Erik Lambrechts,61%,39%,484 of 556,287 of 358,6 of 13,4 of 12,4 of 4,2 of 6,87.1,80.2,46.2,33.3,100.0,33.3,Home Win,Tottenham
2025-11-04,Liverpool,Real Madrid,1–0,Anfield,István Kovács,40%,60%,281 of 369,477 of 555,9 of 17,2 of 8,2 of 2,8 of 9,76.2,85.9,52.9,25.0,100.0,88.9,Home Win,Liverpool
2025-11-04,Juventus,Sporting CP,1–1,Allianz Stadium,Daniel Siebert,49%,51%,449 of 535,479 of 553,9 of 18,1 of 4,0 of 1,8 of 9,83.9,86.6,50.0,25.0,0.0,88.9,Draw,Draw
2025-11-04,Atlético Madrid,Union SG,3–1,Riyadh Air Metropolitan Stadium,Espen Eskås,66%,34%,598 of 689,276 of 357,6 of 14,3 of 8,2 of 3,3 of 6,86.8,77.3,42.9,37.5,66.7,50.0,Home Win,Atlético Madrid
2025-11-04,Bodø/Glimt,Monaco,0–1,Aspmyra Stadion,Damian Sylwestrzak,64%,36%,640 of 732,313 of 411,4 of 17,2 of 9,1 of 2,4 of 4,87.4,76.2,23.5,22.2,50.0,100.0,Away Win,Monaco
2025-11-04,Paris S-G,Bayern Munich,1–2,Parc des Princes,Maurizio Mariani,71%,29%,676 of 761,235 of 315,9 of 25,5 of 9,3 of 5,8 of 9,88.8,74.6,36.0,55.6,60.0,88.9,Away Win,Bayern Munich
2025-11-04,Olympiacos,PSV Eindhoven,1–1,Stadio Georgios Karaiskáki,Clément Turpin,40%,60%,247 of 343,422 of 511,4 of 18,2 of 10,1 of 2,3 of 4,72.0,82.6,22.2,20.0,50.0,75.0,Draw,Draw
